Feature Index Set,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
48,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 19, 22, 25, 26, 27, 28, 32, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90434783 0.86462882 0.83842795 0.87772926 0.83842795],0.8647123599772166,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '19', '22', '25', '26', '27', '28', '32', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03211765558288034,0.024988627195313577,0.012494313597656787
49,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 19, 22, 25, 26, 27, 28, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90869565 0.86899563 0.83406114 0.87772926 0.83406114],0.864708562749193,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '19', '22', '25', '26', '27', '28', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03635947441520107,0.028288906356642607,0.014144453178321302
50,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 19, 22, 25, 26, 27, 28, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.86462882 0.83842795 0.87772926 0.83406114],0.8629694323144106,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '16', '17', '19', '22', '25', '26', '27', '28', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.031639273553070425,0.02461642972376994,0.01230821486188497
47,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 19, 22, 25, 26, 27, 28, 32, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.86026201 0.83842795 0.87772926 0.83842795],0.8629694323144106,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '19', '22', '25', '26', '27', '28', '32', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.030421043913750428,0.02366860567675341,0.011834302838376703
51,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 19, 20, 22, 25, 26, 27, 28, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.86462882 0.83406114 0.87772926 0.83842795],0.8629694323144104,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '16', '17', '19', '20', '22', '25', '26', '27', '28', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.031639273553070425,0.02461642972376994,0.01230821486188497
53,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90869565 0.86899563 0.82969432 0.87336245 0.83406114],0.8629618378583634,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '25', '26', '27', '28', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.0371541979712544,0.028907228282858664,0.014453614141429334
46,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 22, 25, 26, 27, 28, 32, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.86462882 0.83406114 0.87772926 0.83842795],0.8620998670970191,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '22', '25', '26', '27', '28', '32', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.029994190608264137,0.023336499303348936,0.011668249651674468
52,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.86899563 0.82969432 0.87772926 0.82969432],0.861222707423581,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '22', '25', '26', '27', '28', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.035547722084374095,0.02765733546512416,0.01382866773256208
54,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90434783 0.86899563 0.8209607  0.87772926 0.83406114],0.8612189101955574,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '25', '26', '27', '28', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03877848885693314,0.03017098177489769,0.015085490887448845
42,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 22, 26, 27, 28, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.87336245 0.83406114 0.86899563 0.82969432],0.8603531422061895,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '22', '26', '27', '28', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03211267435096156,0.024984751627650466,0.012492375813825233
45,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82969432 0.86899563 0.82969432],0.860349344978166,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.034943532317474046,0.027187255299984822,0.013593627649992411
55,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90434783 0.86899563 0.82532751 0.87336245 0.82969432],0.8603455477501425,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '25', '26', '27', '28', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03789418038450285,0.029482959740219784,0.01474147987010989
43,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.86899563 0.83406114 0.86899563 0.82969432],0.8594797797607747,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.031602614009305016,0.024587907353264403,0.0122939536766322
36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
30,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
29,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
31,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 61, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '61', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 61, 62, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '61', '62', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03625668281781234,0.028208931001675326,0.014104465500837661
40,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82969432 0.86462882 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03465748796012075,0.026964703072012288,0.013482351536006142
27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '48', '49', '50', '51', '52', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
56,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.86462882 0.8209607  0.87336245 0.83842795],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '23', '25', '26', '27', '28', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03537716707824002,0.027524637875987218,0.013762318937993607
28,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
41,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 26, 27, 28, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89130435 0.87336245 0.82532751 0.87336245 0.82969432],0.8586102145433834,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '26', '27', '28', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03375219037156463,0.026260350791913002,0.013130175395956501
44,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.86462882 0.82969432 0.87336245 0.82969432],0.8586064173153598,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.0330107958624452,0.025683520675990314,0.012841760337995157
